Student No,Surname,Forename1,Forename2,Tutor,Course,Grad Level,Univ Email
1,Moses,Michael,Samuel,1,UFBSCMSA,pg,MosesMS@cardiff.ac.uk
2,Redding,Stephen,Mike,1,UFBSCMSB,pg,ReddingSM@cardiff.ac.uk
3,Whisenant,Helen,Chloe,3,UFBSCSFA,pg,WhisenantHC@cardiff.ac.uk
4,Harris,Robert,,3,UFBSCSFB,ug,HarrisR@cardiff.ac.uk
5,Hall,Tommy,,5,UFBSCSHA,ug,HallT@cardiff.ac.uk
6,Caudill,Ralph,John,5,UFBSCSHB,ug,CaudillRJ@cardiff.ac.uk
7,Moses,Michael,Samuel,1,UFBSCMSA,pg,MosesMS@cardiff.ac.uk
8,Redding,Stephen,Mike,1,UFBSCMSB,pg,ReddingSM@cardiff.ac.uk
9,Whisenant,Helen,Chloe,3,UFBSCSFA,pg,WhisenantHC@cardiff.ac.uk
10,Harris,Robert,,3,UFBSCSFB,ug,HarrisR@cardiff.ac.uk
11,Hall,Tommy,,5,UFBSCSHA,ug,HallT@cardiff.ac.uk
12,Caudill,Ralph,John,5,UFBSCSHB,ug,CaudillRJ@cardiff.ac.uk
13,Moses,Michael,Samuel,1,UFBSCMSA,pg,MosesMS@cardiff.ac.uk
14,Redding,Stephen,Mike,2,UFBSCMSB,pg,ReddingSM@cardiff.ac.uk
15,Whisenant,Helen,Chloe,3,UFBSCSFA,pg,WhisenantHC@cardiff.ac.uk
16,Harris,Robert,,4,UFBSCSFB,ug,HarrisR@cardiff.ac.uk
17,Hall,Tommy,,5,UFBSCSHA,ug,HallT@cardiff.ac.uk
18,Caudill,Ralph,John,6,UFBSCSHB,ug,CaudillRJ@cardiff.ac.uk
19,Moses,Michael,Samuel,2,UFBSCMSA,pg,MosesMS@cardiff.ac.uk
20,Redding,Stephen,Mike,2,UFBSCMSB,pg,ReddingSM@cardiff.ac.uk
21,Whisenant,Helen,Chloe,4,UFBSCSFA,pg,WhisenantHC@cardiff.ac.uk
22,Harris,Robert,,4,UFBSCSFB,ug,HarrisR@cardiff.ac.uk
23,Hall,Tommy,,6,UFBSCSHA,ug,HallT@cardiff.ac.uk
24,Caudill,Ralph,John,6,UFBSCSHB,ug,CaudillRJ@cardiff.ac.uk
25,Moses,Michael,Samuel,2,UFBSCMSA,pg,MosesMS@cardiff.ac.uk
26,Redding,Stephen,Mike,2,UFBSCMSB,pg,ReddingSM@cardiff.ac.uk
27,Whisenant,Helen,Chloe,4,UFBSCSFA,pg,WhisenantHC@cardiff.ac.uk
28,Harris,Robert,,4,UFBSCSFB,ug,HarrisR@cardiff.ac.uk
29,Hall,Tommy,,6,UFBSCSHA,ug,HallT@cardiff.ac.uk
30,Hall,Tommy,,6,UFBSCSHA,ug,HallT@cardiff.ac.uk
31,Hall,Tommy,,,UFBSCSHA,ug,HallT@cardiff.ac.uk
32,Hall,Tommy,,,UFBSCSHA,ug,HallT@cardiff.ac.uk
33,Hall,Tommy,,,UFBSCSHA,ug,HallT@cardiff.ac.uk
34,Hall,Tommy,,,UFBSCSHA,ug,HallT@cardiff.ac.uk
35,Hall,Tommy,,,UFBSCSHA,ug,HallT@cardiff.ac.uk
